k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;15;0.99881;0.98374;0.97561;0.973984
4;15;0.998215;0.97561;0.963415;0.960976
7;15;0.994051;0.922764;0.878049;0.866667
10;15;0.994051;0.930894;0.878049;0.861789
13;15;0.991672;0.895935;0.829268;0.803368
16;15;0.991077;0.895935;0.817073;0.783043
19;15;0.991672;0.910163;0.829268;0.807433
22;15;0.989887;0.881707;0.792683;0.761092
25;15;0.989292;0.880488;0.780488;0.7518
28;15;0.987507;0.857724;0.743902;0.708014
31;15;0.987507;0.853659;0.743902;0.71777
34;15;0.987507;0.85122;0.743902;0.712311
37;15;0.989292;0.85935;0.780488;0.744019
