1;1;1;1.52242;0.00148721
1;4;1;1.43066;0.00171877
1;7;1;1.48567;0.00135019
1;10;1;1.41547;0.00135973
1;13;1;1.42758;0.00136494
1;16;1;1.39856;0.00136256
1;19;1;1.39168;0.00137368
1;1;2;1.41511;0.00135535
1;4;2;1.42001;0.0013728
1;7;2;1.44377;0.00138096
1;10;2;1.45736;0.00154628
1;13;2;1.51221;0.00139329
1;16;2;1.54318;0.00147178
1;19;2;1.45191;0.00139151
1;1;3;1.45001;0.00137659
1;4;3;1.52012;0.00178155
1;7;3;1.52429;0.00140834
1;10;3;1.50126;0.00142189
1;13;3;1.51581;0.00141185
1;16;3;1.52527;0.00147041
1;19;3;1.43934;0.00141664
1;1;4;1.48885;0.00139195
1;4;4;1.47461;0.00140331
1;7;4;1.59629;0.00150335
1;10;4;1.48056;0.00142579
1;13;4;1.50418;0.00148221
1;16;4;1.4822;0.00142387
1;19;4;1.48765;0.00143243
1;1;8;1.54667;0.00145104
1;4;8;1.56293;0.00146269
1;7;8;1.5792;0.00145186
1;10;8;1.59641;0.00146002
1;13;8;1.53675;0.00146473
1;16;8;1.57458;0.0014846
1;19;8;1.55016;0.00149532
1;1;15;1.76292;0.00156362
1;4;15;1.77075;0.00156585
1;7;15;1.77276;0.00158992
1;10;15;1.75315;0.00157894
1;13;15;1.73168;0.00158506
1;16;15;1.74427;0.00158543
1;19;15;1.75806;0.00161156
