k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;1;0.956573;0.299593;0.109756;0.689257
4;1;0.956573;0.302846;0.109756;0.637805
7;1;0.958358;0.361789;0.146341;0.552033
10;1;0.956573;0.230081;0.109756;0.702729
13;1;0.958358;0.306911;0.146341;0.595935
16;1;0.957763;0.373635;0.134146;0.53614
19;1;0.957168;0.358537;0.121951;0.559988
22;1;0.958358;0.453542;0.146341;0.464634
25;1;0.958953;0.469977;0.158537;0.440641
28;1;0.957763;0.537398;0.134146;0.393728
31;1;0.958358;0.495935;0.146341;0.415447
34;1;0.957168;0.454878;0.121951;0.454297
37;1;0.958358;0.509079;0.146341;0.386403
1;6;0.995241;0.943089;0.902439;0.447154
4;6;0.994051;0.906504;0.878049;0.458537
7;6;0.986318;0.790244;0.719512;0.417131
10;6;0.984533;0.760163;0.682927;0.394309
13;6;0.981559;0.704878;0.621951;0.41144
16;6;0.982153;0.706156;0.634146;0.440379
19;6;0.980964;0.705285;0.609756;0.393089
22;6;0.978584;0.711382;0.560976;0.369919
25;6;0.977394;0.700813;0.536585;0.354123
28;6;0.97561;0.635772;0.5;0.408595
31;6;0.976205;0.645257;0.512195;0.39555
34;6;0.977394;0.661924;0.536585;0.406061
37;6;0.979179;0.713879;0.573171;0.352633
1;11;0.99881;0.98374;0.97561;0.486992
4;11;0.997026;0.963415;0.939024;0.464228
7;11;0.994051;0.922764;0.878049;0.433333
10;11;0.988697;0.84065;0.768293;0.394832
13;11;0.987507;0.810569;0.743902;0.400871
16;11;0.985128;0.75122;0.695122;0.421661
19;11;0.986318;0.77561;0.719512;0.43101
22;11;0.985723;0.765854;0.707317;0.426887
25;11;0.985128;0.792683;0.695122;0.368699
28;11;0.985128;0.799652;0.695122;0.366396
31;11;0.985128;0.828107;0.695122;0.341599
34;11;0.984533;0.8277;0.682927;0.336779
37;11;0.984533;0.820441;0.682927;0.337727
1;16;1;1;1;0.5
4;16;0.997026;0.95935;0.939024;0.463415
7;16;0.994051;0.914634;0.878049;0.432927
10;16;0.991672;0.873984;0.829268;0.427236
13;16;0.989887;0.85935;0.792683;0.411034
16;16;0.987507;0.808943;0.743902;0.396748
19;16;0.988102;0.826829;0.756098;0.407782
22;16;0.989292;0.822764;0.780488;0.442741
25;16;0.987507;0.806504;0.743902;0.422416
28;16;0.988102;0.852497;0.756098;0.380623
31;16;0.986913;0.838753;0.731707;0.393865
34;16;0.987507;0.836992;0.743902;0.399245
37;16;0.987507;0.860627;0.743902;0.348916
1;21;1;1;1;0.5
4;21;0.99762;0.96748;0.95122;0.469919
7;21;0.997026;0.963415;0.939024;0.468293
10;21;0.992267;0.895935;0.841463;0.439489
13;21;0.990482;0.87561;0.804878;0.413879
16;21;0.989887;0.857724;0.792683;0.406504
19;21;0.989292;0.841463;0.780488;0.426016
22;21;0.986913;0.821603;0.731707;0.392063
25;21;0.988102;0.850058;0.756098;0.403039
28;21;0.988102;0.843089;0.756098;0.405343
31;21;0.989887;0.876887;0.792683;0.408672
34;21;0.986913;0.828107;0.731707;0.3729
37;21;0.987507;0.843496;0.743902;0.376829
1;26;1;1;1;0.5
4;26;0.998215;0.97561;0.963415;0.480488
7;26;0.995836;0.934959;0.914634;0.455285
10;26;0.992861;0.904065;0.853659;0.445993
13;26;0.991672;0.886179;0.829268;0.42561
16;26;0.992267;0.893496;0.841463;0.435889
19;26;0.988102;0.826829;0.756098;0.406562
22;26;0.987507;0.825203;0.743902;0.403659
25;26;0.986318;0.833333;0.719512;0.387398
28;26;0.987507;0.85122;0.743902;0.404936
31;26;0.988102;0.841928;0.756098;0.386779
34;26;0.988697;0.852497;0.768293;0.390786
37;26;0.991077;0.901278;0.817073;0.396883
1;31;1;1;1;0.5
4;31;0.99881;0.98374;0.97561;0.486992
7;31;0.998215;0.97561;0.963415;0.480488
10;31;0.991077;0.863415;0.817073;0.441115
13;31;0.992267;0.887805;0.841463;0.438676
16;31;0.992267;0.89187;0.841463;0.434204
19;31;0.989292;0.839024;0.780488;0.422822
22;31;0.988102;0.827236;0.756098;0.407317
25;31;0.986913;0.8277;0.731707;0.394096
28;31;0.988697;0.873984;0.768293;0.370732
31;31;0.989292;0.878049;0.780488;0.376016
34;31;0.988697;0.868757;0.768293;0.372087
37;31;0.988697;0.870383;0.768293;0.369706
