k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;1;0.957168;0.269164;0.121951;0.62981
4;1;0.956573;0.261789;0.109756;0.656562
7;1;0.956573;0.292683;0.109756;0.627846
10;1;0.957168;0.343496;0.121951;0.592683
13;1;0.958358;0.389024;0.146341;0.53011
16;1;0.958358;0.323171;0.146341;0.599797
19;1;0.957168;0.330894;0.121951;0.585627
22;1;0.958358;0.374623;0.146341;0.514005
25;1;0.959548;0.397154;0.170732;0.492857
28;1;0.958358;0.435424;0.146341;0.442673
31;1;0.958953;0.469919;0.158537;0.430778
34;1;0.958953;0.503659;0.158537;0.405952
37;1;0.957763;0.538502;0.134146;0.367131
1;6;0.994646;0.930894;0.890244;0.435366
4;6;0.992861;0.886179;0.853659;0.434959
7;6;0.988102;0.843089;0.756098;0.376074
10;6;0.989292;0.833333;0.780488;0.413821
13;6;0.983938;0.719512;0.670732;0.436179
16;6;0.982748;0.703252;0.646341;0.415041
19;6;0.981559;0.703252;0.621951;0.396341
22;6;0.980964;0.713008;0.609756;0.385017
25;6;0.980964;0.718699;0.609756;0.362718
28;6;0.981559;0.713008;0.621951;0.371603
31;6;0.981559;0.725203;0.621951;0.404123
34;6;0.981559;0.743902;0.621951;0.378978
37;6;0.980369;0.728591;0.597561;0.36872
1;11;0.997026;0.95935;0.939024;0.463415
4;11;0.994051;0.910569;0.878049;0.423577
7;11;0.992861;0.882114;0.853659;0.432927
10;11;0.992267;0.861789;0.841463;0.45
13;11;0.989887;0.845528;0.792683;0.421951
16;11;0.985128;0.801278;0.695122;0.365641
19;11;0.983938;0.767131;0.670732;0.370867
22;11;0.984533;0.763066;0.682927;0.409892
25;11;0.982748;0.768757;0.646341;0.394096
28;11;0.981559;0.745528;0.621951;0.387456
31;11;0.982748;0.751626;0.646341;0.395587
34;11;0.982748;0.747561;0.646341;0.39518
37;11;0.981559;0.719106;0.621951;0.402091
1;16;0.996431;0.955285;0.926829;0.453659
4;16;0.995836;0.947154;0.914634;0.443089
7;16;0.992861;0.886179;0.853659;0.43374
10;16;0.991672;0.865854;0.829268;0.417073
13;16;0.987507;0.834959;0.743902;0.364692
16;16;0.984533;0.78374;0.682927;0.354994
19;16;0.983343;0.760976;0.658537;0.361556
22;16;0.983343;0.743496;0.658537;0.394367
25;16;0.984533;0.773984;0.682927;0.383798
28;16;0.982748;0.747561;0.646341;0.390708
31;16;0.982748;0.71748;0.646341;0.439837
34;16;0.983343;0.730546;0.658537;0.422087
37;16;0.983343;0.737805;0.658537;0.39878
1;21;0.997026;0.963415;0.939024;0.460163
4;21;0.996431;0.955285;0.926829;0.453659
7;21;0.995241;0.934959;0.902439;0.443902
10;21;0.994051;0.918699;0.878049;0.423984
13;21;0.991077;0.887805;0.817073;0.391115
16;21;0.986913;0.830894;0.731707;0.330139
19;21;0.986318;0.82439;0.719512;0.348897
22;21;0.986913;0.839024;0.731707;0.356969
25;21;0.987507;0.847154;0.743902;0.367538
28;21;0.986913;0.821138;0.731707;0.382114
31;21;0.986318;0.813008;0.719512;0.377642
34;21;0.985723;0.788618;0.707317;0.393496
37;21;0.986318;0.768293;0.719512;0.433333
1;26;0.99881;0.98374;0.97561;0.486992
4;26;0.997026;0.95935;0.939024;0.46748
7;26;0.995241;0.930894;0.902439;0.440244
10;26;0.994051;0.902439;0.878049;0.446748
13;26;0.994051;0.926829;0.878049;0.420325
16;26;0.988697;0.863415;0.768293;0.361034
19;26;0.986913;0.828455;0.731707;0.361498
22;26;0.988102;0.855285;0.756098;0.375668
25;26;0.986913;0.839024;0.731707;0.36144
28;26;0.986318;0.808943;0.719512;0.380488
31;26;0.986318;0.796748;0.719512;0.40813
34;26;0.987507;0.802439;0.743902;0.421196
37;26;0.986318;0.782114;0.719512;0.40453
1;31;0.99881;0.98374;0.97561;0.486992
4;31;0.99762;0.96748;0.95122;0.473984
7;31;0.994646;0.922764;0.890244;0.43374
10;31;0.995241;0.930894;0.902439;0.436179
13;31;0.993456;0.918699;0.865854;0.409756
16;31;0.989887;0.87561;0.792683;0.377294
19;31;0.987507;0.828455;0.743902;0.371661
22;31;0.988102;0.855285;0.756098;0.375668
25;31;0.986913;0.834959;0.731707;0.360221
28;31;0.986913;0.822764;0.731707;0.382578
31;31;0.985723;0.794309;0.707317;0.397619
34;31;0.987507;0.826829;0.743902;0.367131
37;31;0.986913;0.786179;0.731707;0.410221
