k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;1;0.956573;0.256098;0.109756;0.679268
4;1;0.957168;0.230488;0.121951;0.657956
7;1;0.956573;0.260163;0.109756;0.679675
10;1;0.957168;0.301858;0.121951;0.636508
13;1;0.958358;0.349593;0.146341;0.621545
16;1;0.960738;0.372416;0.195122;0.563405
19;1;0.958953;0.402265;0.158537;0.522513
22;1;0.957763;0.411179;0.134146;0.491115
25;1;0.956573;0.424042;0.109756;0.475629
28;1;0.955384;0.447658;0.0853659;0.462332
31;1;0.956573;0.499419;0.109756;0.401955
34;1;0.955979;0.506504;0.097561;0.419106
37;1;0.954789;0.522542;0.0731707;0.412242
1;6;0.993456;0.910569;0.865854;0.427236
4;6;0.989887;0.855691;0.792683;0.388618
7;6;0.988697;0.843496;0.768293;0.362602
10;6;0.984533;0.786585;0.682927;0.343496
13;6;0.983938;0.778455;0.670732;0.336179
16;6;0.979774;0.737805;0.585366;0.29547
19;6;0.982153;0.777642;0.634146;0.320441
22;6;0.980964;0.716667;0.609756;0.377758
25;6;0.980964;0.77079;0.609756;0.30995
28;6;0.980369;0.758595;0.597561;0.331494
31;6;0.978584;0.730894;0.560976;0.328978
34;6;0.977989;0.734204;0.54878;0.322145
37;6;0.977394;0.711382;0.536585;0.338153
1;11;0.998215;0.97561;0.963415;0.476423
4;11;0.995836;0.939024;0.914634;0.450813
7;11;0.992861;0.912195;0.853659;0.421196
10;11;0.991672;0.893496;0.829268;0.406214
13;11;0.991077;0.85935;0.817073;0.421603
16;11;0.989292;0.863415;0.780488;0.378107
19;11;0.987507;0.854878;0.743902;0.357027
22;11;0.986913;0.831707;0.731707;0.374274
25;11;0.985723;0.816667;0.707317;0.38705
28;11;0.985723;0.822764;0.707317;0.384553
31;11;0.985128;0.784553;0.695122;0.427991
34;11;0.985723;0.804936;0.707317;0.38765
37;11;0.986318;0.804472;0.719512;0.390708
1;16;0.99881;0.98374;0.97561;0.486992
4;16;0.99762;0.96748;0.95122;0.473984
7;16;0.992267;0.904065;0.841463;0.411034
10;16;0.991672;0.895935;0.829268;0.405749
13;16;0.989887;0.853659;0.792683;0.411382
16;16;0.991077;0.88374;0.817073;0.396806
19;16;0.989887;0.873577;0.792683;0.381359
22;16;0.988697;0.884611;0.768293;0.377429
25;16;0.989292;0.876423;0.780488;0.405575
28;16;0.988102;0.853252;0.756098;0.390708
31;16;0.986913;0.828455;0.731707;0.396458
34;16;0.987507;0.868293;0.743902;0.359233
37;16;0.988102;0.876423;0.756098;0.361672
1;21;0.99881;0.98374;0.97561;0.486992
4;21;0.997026;0.95935;0.939024;0.46748
7;21;0.992861;0.910569;0.853659;0.417073
10;21;0.992267;0.904065;0.841463;0.410627
13;21;0.992267;0.9;0.841463;0.41266
16;21;0.991077;0.898374;0.817073;0.397561
19;21;0.989292;0.857724;0.780488;0.404878
22;21;0.989292;0.880488;0.780488;0.409233
25;21;0.988697;0.894309;0.768293;0.370674
28;21;0.987507;0.885366;0.743902;0.359669
31;21;0.986913;0.869919;0.731707;0.350755
34;21;0.988697;0.842334;0.768293;0.420867
37;21;0.989887;0.873577;0.792683;0.381359
1;26;0.999405;0.99187;0.987805;0.493496
4;26;0.99762;0.96748;0.95122;0.473984
7;26;0.992861;0.902439;0.853659;0.421951
10;26;0.991672;0.898374;0.829268;0.407724
13;26;0.989887;0.861789;0.792683;0.389431
16;26;0.990482;0.882114;0.804878;0.395935
19;26;0.990482;0.886179;0.804878;0.391463
22;26;0.989292;0.873171;0.780488;0.374913
25;26;0.989887;0.897967;0.792683;0.384204
28;26;0.989292;0.884959;0.780488;0.378223
31;26;0.988697;0.876829;0.768293;0.367654
34;26;0.988102;0.873984;0.756098;0.361324
37;26;0.989292;0.873577;0.780488;0.371603
1;31;0.999405;0.99187;0.987805;0.493496
4;31;0.99762;0.96748;0.95122;0.473984
7;31;0.995241;0.939024;0.902439;0.446341
10;31;0.992861;0.906504;0.853659;0.421545
13;31;0.991077;0.890244;0.817073;0.40122
16;31;0.989292;0.845528;0.780488;0.404878
19;31;0.989887;0.857724;0.792683;0.410976
22;31;0.990482;0.879675;0.804878;0.38583
25;31;0.988697;0.861382;0.768293;0.36957
28;31;0.989887;0.877642;0.792683;0.381359
31;31;0.989292;0.879268;0.780488;0.376945
34;31;0.990482;0.859756;0.804878;0.412195
37;31;0.990482;0.863415;0.804878;0.406969
