k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;15;0.999405;0.99187;0.987805;0.986992
4;15;0.999405;0.99187;0.987805;0.986992
7;15;0.994646;0.934959;0.890244;0.869919
10;15;0.991672;0.886179;0.829268;0.83252
13;15;0.990482;0.863415;0.804878;0.805807
16;15;0.988697;0.818699;0.768293;0.792799
19;15;0.986913;0.813008;0.731707;0.719512
22;15;0.987507;0.829268;0.743902;0.752846
25;15;0.985128;0.79187;0.695122;0.690476
28;15;0.986318;0.814634;0.719512;0.680604
31;15;0.986318;0.821603;0.719512;0.692257
34;15;0.986318;0.825668;0.719512;0.693883
37;15;0.986318;0.821138;0.719512;0.679675
