k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;1;0.955384;0.214431;0.0853659;0.788618
4;1;0.956573;0.273984;0.109756;0.694425
7;1;0.958358;0.322154;0.146341;0.610453
10;1;0.960738;0.390612;0.195122;0.540422
13;1;0.960738;0.417886;0.195122;0.520151
16;1;0.960143;0.480488;0.182927;0.411847
19;1;0.962522;0.550871;0.231707;0.379365
1;2;0.975015;0.571138;0.487805;0.709756
4;2;0.976205;0.595935;0.512195;0.69489
7;2;0.973825;0.575203;0.463415;0.612079
10;2;0.971446;0.549593;0.414634;0.559814
13;2;0.971446;0.55935;0.414634;0.55993
16;2;0.970851;0.56144;0.402439;0.564615
19;2;0.971446;0.593902;0.414634;0.521719
1;3;0.987507;0.760163;0.743902;0.818699
4;3;0.986318;0.743902;0.719512;0.807317
7;3;0.981559;0.707317;0.621951;0.681301
10;3;0.978584;0.662602;0.560976;0.630894
13;3;0.978584;0.69065;0.560976;0.591986
16;3;0.976205;0.694715;0.512195;0.494425
19;3;0.977394;0.74065;0.536585;0.500755
1;4;0.990482;0.873984;0.804878;0.765854
4;4;0.987507;0.808943;0.743902;0.74878
7;4;0.985723;0.761789;0.707317;0.744832
10;4;0.982748;0.747561;0.646341;0.661092
13;4;0.979774;0.673984;0.585366;0.634379
16;4;0.978584;0.685366;0.560976;0.584321
19;4;0.980369;0.753078;0.597561;0.608788
1;8;0.998215;0.979675;0.963415;0.954472
4;8;0.992267;0.857724;0.841463;0.868293
7;8;0.988697;0.845528;0.768293;0.761789
10;8;0.983343;0.77561;0.658537;0.642509
13;8;0.979774;0.732927;0.585366;0.552265
16;8;0.977989;0.680894;0.54878;0.565854
19;8;0.977394;0.692276;0.536585;0.532753
1;15;0.998215;0.979675;0.963415;0.954472
4;15;0.994646;0.926829;0.890244;0.869106
7;15;0.992861;0.910569;0.853659;0.822764
10;15;0.986913;0.813008;0.731707;0.705691
13;15;0.983343;0.79187;0.658537;0.615679
16;15;0.979179;0.717073;0.573171;0.568409
19;15;0.980964;0.733333;0.609756;0.610685
