k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;1;0.956573;0.239837;0.109756;0.730081
4;1;0.955384;0.252033;0.0853659;0.726016
7;1;0.955979;0.309756;0.097561;0.698839
10;1;0.954789;0.349593;0.0731707;0.64878
13;1;0.958358;0.370732;0.146341;0.629733
16;1;0.959548;0.439837;0.170732;0.548839
19;1;0.957168;0.352439;0.121951;0.641521
1;2;0.972635;0.465447;0.439024;0.699593
4;2;0.969661;0.427236;0.378049;0.704646
7;2;0.97323;0.572358;0.45122;0.652671
10;2;0.970851;0.52892;0.402439;0.607298
13;2;0.970851;0.611092;0.402439;0.514073
16;2;0.97204;0.602091;0.426829;0.53616
19;2;0.97204;0.595993;0.426829;0.532094
1;3;0.983343;0.737805;0.658537;0.677236
4;3;0.979774;0.66957;0.585366;0.675881
7;3;0.979179;0.677642;0.573171;0.672822
10;3;0.977394;0.684146;0.536585;0.578281
13;3;0.97561;0.667131;0.5;0.564499
16;3;0.97442;0.5964;0.47561;0.637553
19;3;0.973825;0.552904;0.463415;0.690747
1;4;0.991077;0.857724;0.817073;0.860976
4;4;0.989292;0.806504;0.780488;0.868409
7;4;0.985723;0.797154;0.707317;0.780256
10;4;0.981559;0.735366;0.621951;0.685482
13;4;0.980369;0.710569;0.597561;0.702671
16;4;0.9768;0.622822;0.52439;0.688889
19;4;0.979179;0.691057;0.573171;0.662602
1;8;0.998215;0.971545;0.963415;0.961789
4;8;0.994646;0.936585;0.890244;0.881417
7;8;0.990482;0.845528;0.804878;0.835772
10;8;0.986318;0.810976;0.719512;0.752033
13;8;0.983343;0.767886;0.658537;0.666783
16;8;0.980369;0.731707;0.597561;0.641463
19;8;0.979179;0.740302;0.573171;0.57681
1;15;0.998215;0.979675;0.963415;0.962602
4;15;0.994646;0.946341;0.890244;0.883159
7;15;0.992861;0.912195;0.853659;0.845645
10;15;0.988102;0.832927;0.756098;0.756214
13;15;0.986318;0.794715;0.719512;0.728455
16;15;0.983343;0.776423;0.658537;0.696748
19;15;0.979774;0.693961;0.585366;0.680759
