k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;15;0.999405;0.99187;0.987805;0.986992
4;15;0.99881;0.98374;0.97561;0.973984
7;15;0.994646;0.930894;0.890244;0.868293
10;15;0.994051;0.922764;0.878049;0.847154
13;15;0.989887;0.861789;0.792683;0.743089
16;15;0.988102;0.843089;0.756098;0.723693
19;15;0.988102;0.843089;0.756098;0.731823
22;15;0.987507;0.833333;0.743902;0.668293
25;15;0.989292;0.857724;0.780488;0.723577
28;15;0.986318;0.812195;0.719512;0.676655
31;15;0.986913;0.837398;0.731707;0.679675
34;15;0.986913;0.833333;0.731707;0.672358
37;15;0.985128;0.81626;0.695122;0.659582
