k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;1;0.958953;0.239431;0.158537;0.649245
4;1;0.959548;0.247561;0.170732;0.653513
7;1;0.956573;0.298374;0.109756;0.644774
10;1;0.957763;0.326423;0.134146;0.607027
13;1;0.959548;0.450949;0.170732;0.475863
16;1;0.959548;0.452091;0.170732;0.444648
19;1;0.959548;0.486643;0.170732;0.390989
22;1;0.959548;0.50453;0.170732;0.370925
25;1;0.960738;0.534959;0.195122;0.326103
28;1;0.960143;0.509059;0.182927;0.341444
31;1;0.960143;0.535656;0.182927;0.317712
34;1;0.958953;0.522687;0.158537;0.358017
37;1;0.958953;0.524526;0.158537;0.359138
1;6;0.995836;0.95122;0.914634;0.447967
4;6;0.992861;0.910569;0.853659;0.418293
7;6;0.986318;0.830081;0.719512;0.335947
10;6;0.983343;0.754065;0.658537;0.345935
13;6;0.980369;0.72561;0.597561;0.337398
16;6;0.979774;0.702846;0.585366;0.329733
19;6;0.977989;0.70122;0.54878;0.314228
22;6;0.978584;0.723577;0.560976;0.272764
25;6;0.980964;0.74187;0.609756;0.321138
28;6;0.977394;0.686179;0.536585;0.33223
31;6;0.9768;0.685366;0.52439;0.329965
34;6;0.976205;0.666667;0.512195;0.347503
37;6;0.976205;0.682249;0.512195;0.350311
1;11;0.998215;0.979675;0.963415;0.477236
4;11;0.995241;0.934959;0.902439;0.441057
7;11;0.992267;0.898374;0.841463;0.406911
10;11;0.989887;0.86748;0.792683;0.400058
13;11;0.988102;0.830894;0.756098;0.385424
16;11;0.985723;0.802439;0.707317;0.375668
19;11;0.986913;0.843089;0.731707;0.362253
22;11;0.987507;0.855285;0.743902;0.37079
25;11;0.985128;0.819977;0.695122;0.344851
28;11;0.983938;0.776887;0.670732;0.378649
31;11;0.982748;0.817073;0.646341;0.323926
34;11;0.982748;0.795122;0.646341;0.353949
37;11;0.981559;0.782985;0.621951;0.316047
1;16;0.997026;0.96748;0.939024;0.460976
4;16;0.995241;0.934959;0.902439;0.445528
7;16;0.991672;0.886179;0.829268;0.399187
10;16;0.989887;0.871545;0.792683;0.40331
13;16;0.988102;0.834959;0.756098;0.385017
16;16;0.987507;0.847154;0.743902;0.376887
19;16;0.986318;0.817073;0.719512;0.372358
22;16;0.986318;0.806504;0.719512;0.409001
25;16;0.985723;0.804065;0.707317;0.403775
28;16;0.985128;0.795935;0.695122;0.400929
31;16;0.985723;0.803252;0.707317;0.411208
34;16;0.983343;0.778513;0.658537;0.377081
37;16;0.983343;0.783391;0.658537;0.351355
1;21;0.997026;0.96748;0.939024;0.460976
4;21;0.995836;0.947154;0.914634;0.45122
7;21;0.992861;0.902439;0.853659;0.41626
10;21;0.992267;0.904065;0.841463;0.432172
13;21;0.989292;0.871545;0.780488;0.398432
16;21;0.987507;0.860976;0.743902;0.374506
19;21;0.988697;0.865041;0.768293;0.38223
22;21;0.986318;0.82439;0.719512;0.38223
25;21;0.986913;0.830894;0.731707;0.388676
28;21;0.986318;0.795587;0.719512;0.403794
31;21;0.985723;0.815041;0.707317;0.369106
34;21;0.983938;0.796341;0.670732;0.361034
37;21;0.985128;0.827236;0.695122;0.34878
1;26;0.99762;0.971545;0.95122;0.470732
4;26;0.995836;0.947154;0.914634;0.45122
7;26;0.992267;0.887805;0.841463;0.433391
10;26;0.992267;0.887805;0.841463;0.433391
13;26;0.988697;0.863415;0.768293;0.392741
16;26;0.986913;0.845528;0.731707;0.365854
19;26;0.987507;0.852497;0.743902;0.367615
22;26;0.988102;0.855285;0.756098;0.376887
25;26;0.987507;0.832172;0.743902;0.397696
28;26;0.986913;0.811847;0.731707;0.41477
31;26;0.985723;0.805343;0.707317;0.403852
34;26;0.985128;0.804201;0.695122;0.379638
37;26;0.984533;0.79607;0.682927;0.369069
1;31;0.99762;0.971545;0.95122;0.470732
4;31;0.995836;0.947154;0.914634;0.45122
7;31;0.991077;0.87561;0.817073;0.417131
10;31;0.991077;0.87561;0.817073;0.417131
13;31;0.989887;0.87561;0.792683;0.408188
16;31;0.988697;0.847154;0.768293;0.387863
19;31;0.988697;0.864692;0.768293;0.383875
22;31;0.986913;0.844367;0.731707;0.365176
25;31;0.987507;0.836237;0.743902;0.394444
28;31;0.988102;0.845993;0.756098;0.405885
31;31;0.986913;0.838618;0.731707;0.394832
34;31;0.986913;0.841057;0.731707;0.367538
37;31;0.986318;0.844444;0.719512;0.363842
