0;1;15;5.21e-07;0.976162
0;4;15;4.62e-07;0.977959
0;7;15;2.82e-07;0.958744
0;10;15;4.79e-07;0.971186
0;13;15;2.04e-07;0.966488
0;16;15;2.98e-07;0.966524
0;19;15;2.43e-07;0.964324
0;22;15;2.12e-07;0.958145
0;25;15;3.65e-07;0.960476
0;28;15;1.49e-07;0.95589
0;31;15;3.95e-07;0.971736
0;34;15;7.72e-07;0.971462
0;37;15;4.9e-07;0.971442
0;1;15;2.12e-07;0.950556
0;4;15;1.62e-07;0.961746
0;7;15;2.11e-07;0.952595
0;10;15;1.63e-07;0.950994
0;13;15;1.38e-07;0.950472
0;16;15;1.78e-07;0.953705
0;19;15;1.57e-07;0.95146
0;22;15;1.81e-07;0.950549
0;25;15;1.85e-07;0.954646
0;28;15;1.56e-07;0.957927
0;31;15;1.84e-07;0.963058
0;34;15;3.88e-07;0.964541
0;37;15;1.47e-07;0.956029
