k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;15;0.997026;0.95122;0.939024;0.936585
4;15;0.997026;0.955285;0.939024;0.935772
7;15;0.995836;0.934959;0.914634;0.910569
10;15;0.989887;0.865854;0.792683;0.761789
13;15;0.988697;0.857724;0.768293;0.730894
16;15;0.983938;0.786179;0.670732;0.668409
19;15;0.982153;0.769919;0.634146;0.655401
22;15;0.980964;0.739024;0.609756;0.619744
25;15;0.980369;0.755691;0.597561;0.592799
28;15;0.980369;0.757317;0.597561;0.582346
31;15;0.980369;0.767886;0.597561;0.563531
34;15;0.979774;0.773577;0.585366;0.546574
37;15;0.980964;0.788211;0.609756;0.546458
