k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;1;0.955979;0.293496;0.097561;0.699245
4;1;0.956573;0.256098;0.109756;0.699593
7;1;0.958358;0.319377;0.146341;0.650892
10;1;0.957763;0.31626;0.134146;0.665273
13;1;0.956573;0.378049;0.109756;0.606504
16;1;0.954789;0.372822;0.0731707;0.596206
19;1;0.955384;0.400503;0.0853659;0.572863
1;2;0.967876;0.461382;0.341463;0.643089
4;2;0.963712;0.406504;0.256098;0.66748
7;2;0.963712;0.407956;0.256098;0.634688
10;2;0.966092;0.465679;0.304878;0.608324
13;2;0.965497;0.483159;0.292683;0.530623
16;2;0.966092;0.462602;0.304878;0.558362
19;2;0.966686;0.52892;0.317073;0.508924
1;3;0.977989;0.637805;0.54878;0.634262
4;3;0.977989;0.656098;0.54878;0.578165
7;3;0.976205;0.646341;0.512195;0.603949
10;3;0.975015;0.590708;0.487805;0.63012
13;3;0.970256;0.561092;0.390244;0.510066
16;3;0.969066;0.488676;0.365854;0.607472
19;3;0.969066;0.556098;0.365854;0.561614
1;4;0.983343;0.761789;0.658537;0.655401
4;4;0.980964;0.721545;0.609756;0.640534
7;4;0.980369;0.726829;0.597561;0.638444
10;4;0.978584;0.644715;0.560976;0.633914
13;4;0.97561;0.616725;0.5;0.622222
16;4;0.970851;0.524119;0.402439;0.632214
19;4;0.972635;0.560705;0.439024;0.672052
1;8;0.993456;0.906504;0.865854;0.844715
4;8;0.989887;0.861789;0.792683;0.781301
7;8;0.986318;0.806504;0.719512;0.69849
10;8;0.982153;0.71626;0.634146;0.701974
13;8;0.980369;0.731359;0.597561;0.588424
16;8;0.980964;0.782656;0.609756;0.584827
19;8;0.979179;0.755478;0.573171;0.562218
1;15;0.995241;0.934959;0.902439;0.899187
4;15;0.992267;0.890244;0.841463;0.855285
7;15;0.989292;0.847154;0.780488;0.818002
10;15;0.985723;0.800813;0.707317;0.708943
13;15;0.982748;0.810298;0.646341;0.597487
16;15;0.982153;0.788211;0.634146;0.621254
19;15;0.980369;0.757317;0.597561;0.58885
