k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;1;0.959548;0.305691;0.170732;0.628513
4;1;0.957763;0.306504;0.134146;0.633449
7;1;0.955979;0.260163;0.097561;0.729675
10;1;0.957763;0.29878;0.134146;0.714518
13;1;0.958358;0.310569;0.146341;0.643612
16;1;0.959548;0.398839;0.170732;0.572338
19;1;0.958953;0.413415;0.158537;0.549129
1;2;0.966686;0.41748;0.317073;0.654123
4;2;0.968471;0.48374;0.353659;0.619919
7;2;0.969066;0.499593;0.365854;0.604181
10;2;0.968471;0.505691;0.353659;0.607433
13;2;0.970256;0.528455;0.390244;0.616957
16;2;0.970256;0.543089;0.390244;0.567247
19;2;0.97204;0.553717;0.426829;0.561247
1;3;0.985128;0.791057;0.695122;0.685134
4;3;0.981559;0.692683;0.621951;0.648084
7;3;0.981559;0.75935;0.621951;0.614866
10;3;0.981559;0.739431;0.621951;0.618002
13;3;0.980964;0.743902;0.609756;0.629268
16;3;0.977989;0.664228;0.54878;0.599303
19;3;0.977989;0.695587;0.54878;0.586566
1;4;0.983938;0.778049;0.670732;0.691173
4;4;0.984533;0.787805;0.682927;0.673403
7;4;0.983938;0.805285;0.670732;0.645296
10;4;0.983343;0.752033;0.658537;0.711382
13;4;0.980964;0.726016;0.609756;0.648548
16;4;0.981559;0.714286;0.621951;0.676694
19;4;0.979774;0.698026;0.585366;0.649864
1;8;0.992861;0.906504;0.853659;0.846341
4;8;0.991077;0.889837;0.817073;0.794425
7;8;0.988102;0.861382;0.756098;0.718002
10;8;0.983938;0.808537;0.670732;0.621254
13;8;0.983938;0.812602;0.670732;0.639954
16;8;0.982153;0.780081;0.634146;0.626539
19;8;0.982153;0.763008;0.634146;0.654936
1;15;0.995241;0.939024;0.902439;0.892683
4;15;0.993456;0.920732;0.865854;0.84878
7;15;0.991672;0.90813;0.829268;0.802555
10;15;0.988697;0.871545;0.768293;0.717189
13;15;0.986913;0.821951;0.731707;0.727991
16;15;0.983938;0.822822;0.670732;0.67379
19;15;0.983938;0.783333;0.670732;0.689779
